Name,Rank,Number,Percent
ONEAL,680,46161,0.01711
PRESTON,681,45850,0.017
SMALL,681,45850,0.017
WU,683,45815,0.01698
ZAMORA,684,45806,0.01698
MACDONALD,685,45782,0.01697
VANCE,686,45763,0.01696
SNOW,687,45689,0.01694
MCCLAIN,688,45560,0.01689
STAFFORD,689,45349,0.01681
OROZCO,690,45289,0.01679
BARRY,691,45044,0.0167
ENGLISH,692,45032,0.01669
SHANNON,693,44902,0.01665
KLINE,694,44900,0.01664
JACOBSON,695,44874,0.01663
WOODARD,696,44830,0.01662
HUANG,697,44715,0.01658
KEMP,698,44701,0.01657
MOSLEY,699,44698,0.01657
PRINCE,700,44640,0.01655
MERRITT,701,44626,0.01654
HURST,702,44587,0.01653
VILLANUEVA,703,44570,0.01652
ROACH,704,44454,0.01648
NOLAN,705,44421,0.01647
LAM,706,44385,0.01645
YODER,707,44245,0.0164
MCCULLOUGH,708,44123,0.01636
LESTER,709,43919,0.01628
SANTANA,710,43875,0.01626
VALENZUELA,711,43770,0.01623
WINTERS,712,43762,0.01622
BARRERA,713,43720,0.01621
LEACH,714,43666,0.01619
ORR,714,43666,0.01619
BERGER,716,43556,0.01615
MCKEE,717,43555,0.01615
STRONG,718,43430,0.0161
CONWAY,719,43395,0.01609
STEIN,720,43331,0.01606
WHITEHEAD,721,43310,0.01605
BULLOCK,722,43021,0.01595
ESCOBAR,723,42955,0.01592
KNOX,724,42937,0.01592
MEADOWS,725,42884,0.0159
SOLOMON,726,42839,0.01588
VELEZ,727,42820,0.01587
ODONNELL,728,42802,0.01587
KERR,729,42758,0.01585
STOUT,730,42669,0.01582
BLANKENSHIP,731,42663,0.01582
BROWNING,732,42642,0.01581
KENT,733,42597,0.01579
LOZANO,734,42567,0.01578
BARTLETT,735,42512,0.01576
PRUITT,736,42463,0.01574
BUCK,737,42441,0.01573
BARR,738,42432,0.01573
GAINES,739,42369,0.01571
DURHAM,740,42365,0.0157
GENTRY,741,42357,0.0157
MCINTYRE,742,42335,0.01569
SLOAN,743,42281,0.01567
MELENDEZ,744,42139,0.01562
ROCHA,744,42139,0.01562
HERMAN,746,42091,0.0156
SEXTON,747,42080,0.0156
MOON,748,42062,0.01559
HENDRICKS,749,41879,0.01552
RANGEL,750,41868,0.01552
STARK,751,41863,0.01552
LOWERY,752,41670,0.01545
HARDIN,753,41664,0.01544
HULL,754,41656,0.01544
SELLERS,755,41561,0.01541
ELLISON,756,41459,0.01537
CALHOUN,757,41452,0.01537
GILLESPIE,758,41393,0.01534
MORA,759,41348,0.01533
KNAPP,760,41267,0.0153
MCCALL,761,41231,0.01528
MORSE,762,41112,0.01524
DORSEY,763,41104,0.01524
WEEKS,764,41053,0.01522
NIELSEN,765,41007,0.0152
LIVINGSTON,766,40964,0.01519
LEBLANC,767,40923,0.01517
MCLEAN,768,40871,0.01515
BRADSHAW,769,40794,0.01512
GLASS,770,40724,0.0151
MIDDLETON,771,40708,0.01509
